Sl.No,Slide_No,State,District,Slide_Name,Latitude,Longitude,dem_tile,dem_row,dem_column,elevation_m,slope_deg,aspect_deg
22287,MIZ/AIZ/84A13/2016/3,Mizoram,Aizawl,"~2 km from Vanzao, 2m from",23.847246,92.927341,N23E092,550,3338,1788.0,15.6765,285.9014
22288,MZ/AIZ/84E01/2017/60,Mizoram,Aizawl,Phullen,23.848,93.041885,N23E093,547,151,1010.0,28.3574,242.2978
22290,MZ/AIZ/84E01/2017/79,Mizoram,Aizawl,~19 km from Phuaibuang,23.848917,93.135307,N23E093,544,487,463.0,32.6374,264.1973
22291,MIZ/AIZ/84A13/2016/1,Mizoram,Aizawl,~ 3 km from Vanzao,23.849497,92.928202,N23E092,542,3342,1822.0,15.1194,272.5755
22292,MZ/AIZ/84E01/2017/81,Mizoram,Aizawl,Phullen village along,23.85,93.048164,N23E093,540,173,1030.0,23.8553,220.5718
22293,MZ/MAM/84A05/2020/13,Mizoram,Mamit,Mualthuam- Kawrtethawveng road,23.85,92.33,N23E092,540,1188,188.0,12.2848,275.3318
22294,MZ/AIZ/84E01/2017/85,Mizoram,Aizawl,"3 km from Tuivai river, near",23.85075,93.115608,N23E093,537,416,399.0,30.6407,349.6724
22295,MIZ/AIZ/84A09/2016/51,Mizoram,Aizawl,Siphir-Lungdai section,23.850861,92.743083,N23E092,537,2675,1274.0,26.2624,80.5586
22296,MIZ/AIZ/84A09/2016/49,Mizoram,Aizawl,Siphir-Lungdai section,23.851361,92.742222,N23E092,535,2672,1300.0,23.2619,67.8789
22297,MZ/CHA/84E01/2017/16,Mizoram,Champhai,6.5 km S of Ngopa,23.851723,93.186775,N23E093,534,672,963.0,35.9926,78.7548
22298,MIZ/AIZ/84A09/2016/52,Mizoram,Aizawl,Near View point on Siphir-,23.852722,92.743306,N23E092,530,2676,1255.0,20.7964,111.2411
22299,MZ/AIZ/84E01/2017/61,Mizoram,Aizawl,2 km from Phullen along,23.852861,93.059998,N23E093,530,216,840.0,37.5647,342.2468
22301,MZ/AIZ/84E01/2017/99,Mizoram,Aizawl,Phullen,23.855028,93.041695,N23E093,522,150,944.0,26.5321,243.5251
22302,MIZ/AIZ/84A09/2016/125,Mizoram,Aizawl,Towards Piggery Farm,23.855092,92.666553,N23E092,522,2400,407.0,27.1848,302.3992
22303,MIZ/AIZ/84A09/2016/86,Mizoram,Mamit,Sairang - Silchar road,23.855535,92.648953,N23E092,520,2336,73.0,35.7731,242.9377
22304,MIZ/AIZ/84A13/2016/33,Mizoram,Aizawl,~19 km from Khawruhlian,23.856821,92.833784,N23E092,515,3002,189.0,25.7501,270.4807
22305,MIZ/AIZ/84A09/2016/50,Mizoram,Aizawl,Siphir-Lungdai section,23.856861,92.743028,N23E092,515,2675,1367.0,23.2755,86.224
22307,MIZ/AIZ/84A09/2016/91,Mizoram,Mamit,"Lengpui, NH 54 section",23.857278,92.646222,N23E092,514,2326,163.0,40.1613,94.9519
22308,MIZ/AIZ/84A13/2016/126,Mizoram,Aizawl,Khanpui-Khawkawi section,23.859417,92.917333,N23E092,506,3302,1258.0,23.6759,278.4923
22309,MZ/MAM/84A05/2020/14,Mizoram,Mamit,Mualthuam- Kawrtethawveng road,23.86,92.35,N23E092,504,1260,282.0,9.1332,249.3649
22310,MZ/MAM/84A05/2020/15,Mizoram,Mamit,Mualthuam- Kawrtethawveng road,23.86,92.37,N23E092,504,1332,540.0,28.1076,232.6885
22311,MIZ/AIZ/84A13/2016/32,Mizoram,Aizawl,~16 km from Khawruhlian,23.860102,92.834056,N23E092,504,3003,202.0,25.6851,228.9792
22312,MZ/CHA/84E01/2017/47,Mizoram,Champhai,5 km S of Ngopa,23.860167,93.194778,N23E093,503,701,912.0,32.3455,136.2294
22313,MZ/CHA/84E01/2017/2,Mizoram,Champhai,3.2 km S of Ngopa,23.860361,93.203804,N23E093,503,734,955.0,23.1983,230.7517
22314,MZ/CHA/84E01/2017/3,Mizoram,Champhai,3.2 km S of Ngopa,23.860361,93.203804,N23E093,503,734,955.0,23.1983,230.7517
22315,MZ/CHA/84E05/2017/14,Mizoram,Champhai,KawlbemVaikhawtlang section,23.861805,93.364944,N23E093,498,1314,610.0,18.9809,107.8132
22316,MZ/CHA/84E01/2017/29,Mizoram,Champhai,2.5 km S of Ngopa,23.862638,93.204025,N23E093,495,734,996.0,22.0553,276.3082
22317,MZ/CHA/84E01/2017/20,Mizoram,Champhai,3.8 km S of Ngopa,23.863417,93.201279,N23E093,492,725,932.0,25.1396,205.1094
22318,MIZ/AIZ/84A13/2016/127,Mizoram,Aizawl,Khawkawi section,23.865694,92.932639,N23E092,484,3358,1315.0,28.8809,69.8286
22319,MZ/CHA/84E01/2017/41,Mizoram,Champhai,5 km from Ngopa,23.866138,93.222809,N23E093,482,802,1163.0,19.6663,296.9329
22320,MZ/CHA/84E01/2017/13,Mizoram,Champhai,2 km S of Ngopa,23.867277,93.205643,N23E093,478,740,1047.0,35.5065,326.4931
22321,MZ/CHA/84E01/2017/42,Mizoram,Champhai,Near Ngopa village,23.868279,93.222557,N23E093,474,801,1160.0,31.9404,326.8667
22322,MIZ/AIZ/84A09/2016/53,Mizoram,Aizawl,"~1km from Lungdai, on Silchar",23.868917,92.735472,N23E092,472,2648,1258.0,26.4368,278.8964
22323,MIZ/AIZ/84A13/2016/15,Mizoram,Aizawl,Khawruhlian village on NH150,23.869861,92.877444,N23E092,469,3159,978.0,18.9842,0.7371
22324,MZ/MAM/84A05/2020/6,Mizoram,Mamit,South of Mamit slide,23.87,92.5,N23E092,468,1800,873.0,12.2866,84.669
22325,MZ/CHA/84E01/2017/17,Mizoram,Champhai,1 km S of Ngopa,23.870445,93.208611,N23E093,466,751,1045.0,39.3317,337.4521
22326,MZ/CHA/84E05/2017/9,Mizoram,Champhai,KawlbemVaikhawtlang section,23.870445,93.353859,N23E093,466,1274,992.0,28.627,20.9004
22327,MZ/CHA/84E01/2017/49,Mizoram,Champhai,Near Ngopa village,23.870567,93.215149,N23E093,466,775,1127.0,34.6908,130.4637
22328,MZ/AIZ/84E01/2017/90,Mizoram,Aizawl,PhullenPhuaibuang,23.870583,93.095444,N23E093,466,344,575.0,23.7961,63.2762
22329,MZ/AIZ/84E01/2017/65,Mizoram,Aizawl,Ainawl village,23.87075,93.078529,N23E093,465,283,702.0,32.7781,247.0664
22330,MIZ/AIZ/84A13/2016/7,Mizoram,Aizawl,near Pehlawn,23.871694,92.919955,N23E092,462,3312,1186.0,31.3463,294.7443
22331,MZ/AIZ/84E01/2017/96,Mizoram,Aizawl,~5k m from Ainawl along,23.872055,93.094276,N23E093,461,339,608.0,22.9911,108.3463
22332,MZ/CHA/84E05/2017/17,Mizoram,Champhai,KawlbemVaikhawtlang section,23.87211,93.335999,N23E093,460,1210,1196.0,17.8802,197.5654
22333,MIZ/AIZ/84A13/2016/16,Mizoram,Aizawl,Khawruhlian village(near,23.872722,92.874083,N23E092,458,3147,937.0,19.8957,330.7163
22334,MZ/CHA/84E01/2017/11,Mizoram,Champhai,KawlbemNgopa section,23.874056,93.244469,N23E093,453,880,1223.0,24.9159,309.4927
22335,MZ/CHA/84E01/2017/44,Mizoram,Champhai,Ngopa village,23.875174,93.21302,N23E093,449,767,1151.0,27.8176,32.4671
22336,MZ/CHA/84E05/2017/2,Mizoram,Champhai,KawlbemNgopa section,23.876139,93.260445,N23E093,446,938,1616.0,15.7411,312.4405
22337,MZ/CHA/84E05/2017/11,Mizoram,Champhai,NgopaTeikhang section,23.877806,93.267609,N23E093,440,963,1668.0,51.1,269.2516
22338,MIZ/AIZ/84A09/2016/92,Mizoram,Aizawl,Near Lengpui-NH 54 junction,23.88,92.69,N23E092,432,2484,609.0,23.1602,130.0388
22339,MZ/MAM/84A05/2020/7,Mizoram,Mamit,Mamit road slide,23.88,92.5,N23E092,432,1800,761.0,35.2586,62.7446
22340,MZ/CHA/84E01/2017/39,Mizoram,Champhai,KawlbemNgopa section,23.881056,93.245804,N23E093,428,885,1476.0,29.9546,228.1545
22341,MZ/CHA/84E05/2017/23,Mizoram,Champhai,KawlbemNgopa section,23.881361,93.257027,N23E093,427,925,1568.0,16.0147,13.3735
22342,MZ/CHA/84E01/2017/40,Mizoram,Champhai,19 km from ngopa,23.88139,93.243027,N23E093,427,875,1356.0,30.6281,314.7522
22343,MZ/CHA/84E01/2017/4,Mizoram,Champhai,KawlbemNgopa section,23.881639,93.234642,N23E093,426,845,1272.0,28.4647,238.9992
22344,MZ/CHA/84E05/2017/24,Mizoram,Champhai,KawlbemNgopa section,23.881971,93.250969,N23E093,425,903,1542.0,29.21,357.2777
22345,MZ/AIZ/84E01/2017/57,Mizoram,Aizawl,ZawnginPhullen section,23.882055,93.041222,N23E093,425,148,876.0,43.0665,68.139
22346,MZ/CHA/84E01/2017/23,Mizoram,Champhai,KawlbemNgopa section,23.882389,93.248947,N23E093,423,896,1518.0,28.2907,350.0562
22347,MIZ/AIZ/84A13/2016/22,Mizoram,Aizawl,2.5 km S of Khawruhlian,23.882583,92.877639,N23E092,423,3160,882.0,29.9438,32.5361
22348,MIZ/AIZ/84A13/2016/23,Mizoram,Aizawl,4.2 km S of Khawruhlian,23.88319,92.869,N23E092,421,3128,671.0,31.876,39.8327
22349,MIZ/AIZ/84A13/2016/25,Mizoram,Aizawl,~6.5 km S of Khawruhlian,23.883306,92.861917,N23E092,420,3103,711.0,24.264,189.0386
22350,MIZ/AIZ/84A13/2016/24,Mizoram,Aizawl,~4.8 km S of Khawruhlian,23.88375,92.866778,N23E092,419,3120,711.0,25.4539,5.8706
22351,MIZ/AIZ/84A13/2016/21,Mizoram,Aizawl,2km Khawruhlian milestone,23.883944,92.880528,N23E092,418,3170,879.0,26.5362,296.4698
22352,MZ/CHA/84E01/2017/38,Mizoram,Champhai,18 km from ngopa,23.883944,93.247528,N23E093,418,891,1443.0,27.002,349.9962
22353,MZ/CHA/84E01/2017/36,Mizoram,Champhai,Ngopa,23.884083,93.209908,N23E093,417,756,1192.0,23.8192,213.4647
22354,MZ/CHA/84E01/2017/6,Mizoram,Champhai,"Ngopa village, 0 pointTuivai R",23.885195,93.202332,N23E093,413,728,912.0,36.0085,236.5456
22355,MZ/CHA/84E01/2017/48,Mizoram,Champhai,"Ngopa village, 0 point to Tuivai",23.885279,93.207726,N23E093,413,748,1096.0,22.5368,262.7163
22356,MIZ/AIZ/84A13/2016/26,Mizoram,Aizawl,~7.3 km S of Khawruhlian,23.885639,92.857861,N23E092,412,3088,707.0,32.3433,136.7663
22357,MZ/CHA/84E01/2017/33,Mizoram,Champhai,"Ngopa village, 0 pointTuivai R",23.886723,93.200279,N23E093,408,721,873.0,24.5362,239.647
22358,MZ/AIZ/84E01/2017/93,Mizoram,Aizawl,"Ainawl village, near Tuivai river",23.887251,93.095612,N23E093,406,344,637.0,31.9059,19.5196
22359,MIZ/AIZ/84A13/2016/30,Mizoram,Aizawl,11 km Khawruhlian milestone,23.887333,92.851111,N23E092,406,3064,526.0,24.6238,282.7525
22360,MZ/AIZ/84E01/2017/66,Mizoram,Aizawl,ZawnginPhullen section,23.888081,93.026642,N23E093,403,96,958.0,26.3989,159.6501
22361,MZ/AIZ/84E01/2017/83,Mizoram,Aizawl,ZawnginPhullen section,23.888945,93.033974,N23E093,400,122,913.0,23.8195,326.5343
22362,MIZ/AIZ/84A09/2016/55,Mizoram,Aizawl,"Lungdai village, Silchar road",23.889306,92.736528,N23E092,398,2652,1118.0,33.0169,232.8366
22363,MZ/CHA/84E05/2017/13,Mizoram,Champhai,NgopaTeikhang section,23.890694,93.275024,N23E093,394,990,1698.0,16.1765,7.8931
22364,MIZ/AIZ/84A13/2016/28,Mizoram,Aizawl,10 km Khawruhlian milestone,23.891722,92.84925,N23E092,390,3057,576.0,25.2471,157.9481
22365,MIZ/AIZ/84A13/2016/29,Mizoram,Aizawl,~07 m from prev location,23.891722,92.84925,N23E092,390,3057,576.0,25.2471,157.9481
22366,MZ/AIZ/84E01/2017/69,Mizoram,Aizawl,ZawnginPhullen section,23.894444,93.019279,N23E093,380,69,1071.0,34.161,210.1486
22368,MZ/AIZ/84E01/2017/107,Mizoram,Aizawl,Zawngin village,23.899305,93.015587,N23E093,363,56,1066.0,22.4219,225.0753
22369,MZ/MAM/84A05/2020/3,Mizoram,Mamit,Mamit-Tuidam road section slide,23.9,92.39,N23E092,360,1404,207.0,16.5439,354.0125
22370,MZ/AIZ/84E01/2017/62,Mizoram,Aizawl,Zawngin village,23.900694,93.015587,N23E093,358,56,1077.0,23.4015,306.0952
22371,MZ/CHA/84E05/2017/12,Mizoram,Champhai,12 km milestone to Teikhang,23.901638,93.278641,N23E093,354,1003,1691.0,20.9879,142.2977
22372,MIZ/AIZ/84A13/2016/8,Mizoram,Aizawl,Pehlawn,23.902111,92.922556,N23E092,352,3321,1138.0,10.4663,189.6563
22373,MZ/CHA/84E01/2017/46,Mizoram,Champhai,"Ngopa village, 0 point to Tuivai",23.905027,93.185776,N23E093,342,669,1003.0,28.0115,194.9491
22374,MZ/AIZ/84E01/2017/91,Mizoram,Aizawl,"Zawngin village, northern",23.907555,93.015114,N23E093,333,54,1106.0,17.9715,297.4921
22375,MZ/CHA/84E01/2017/35,Mizoram,Champhai,"Ngopa village, 0 point to Tuivai",23.908806,93.177391,N23E093,328,639,1020.0,22.0747,194.5404
22376,MZ/CHA/84E01/2017/9,Mizoram,Champhai,"Ngopa village, 0 point to Tuivai",23.908806,93.180832,N23E093,328,651,1004.0,30.0746,208.2914
22377,MZ/AIZ/84E01/2017/80,Mizoram,Aizawl,SuangpuilawnZawngin section,23.909111,93.02375,N23E093,327,86,1103.0,32.5163,207.2792
22379,MZ/CHA/84E01/2017/34,Mizoram,Champhai,"Ngopa village, 0 point to Tuivai",23.91011,93.177193,N23E093,324,638,1016.0,18.1846,274.2392
22380,MZ/AIZ/84E01/2017/88,Mizoram,Aizawl,SuangpuilawnZawngin section,23.913445,93.023941,N23E093,312,86,1101.0,41.0092,350.6241
22381,MZ/CHA/84E01/2017/24,Mizoram,Champhai,"Ngopa village, 0 point to Tuivai",23.914278,93.178864,N23E093,309,644,988.0,24.4985,347.6592
22382,MIZ/AIZ/84A09/2016/120,Mizoram,Aizawl,"E of Serkhan, Serkhan-Hlimen",23.915778,92.742417,N23E092,303,2673,1006.0,24.8478,49.0467
22383,MIZ/AIZ/84A13/2016/14,Mizoram,Aizawl,E Phaileng on NH 150,23.918389,92.923472,N23E092,294,3324,1106.0,18.6331,310.4005
22384,MIZ/AIZ/84A09/2016/121,Mizoram,Aizawl,Serkhan- Nisapui-Luanguat road,23.918461,92.741531,N23E092,294,2670,985.0,23.5286,108.9845
22385,MIZ/AIZ/84A09/2016/54,Mizoram,Aizawl,~2 km from Serkhan towards,23.918694,92.740389,N23E092,293,2665,1039.0,10.8652,47.5689
22386,MIZ/AIZ/84A09/2016/105,Mizoram,Mamit,Khamrang village road,23.918917,92.650833,N23E092,292,2343,158.0,7.1946,298.7435
22387,MIZ/AIZ/84A09/2016/56,Mizoram,Aizawl,~3.5 km from Serkhan,23.922639,92.736528,N23E092,278,2652,875.0,29.6513,239.6856
22388,MZ/AIZ/84A09/2014/07,Mizoram,Aizawl,NH 54,23.92294,92.65703,N23E092,277,2365,111.0,20.1319,198.3011
22389,MIZ/AIZ/84A09/2016/87,Mizoram,Aizawl,Silchar road,23.923047,92.656696,N23E092,277,2364,107.0,19.0779,196.3574
22390,MIZ/AIZ/84A13/2016/9,Mizoram,Aizawl,~1km N of Pehlawn at 4 km,23.92425,92.925222,N23E092,273,3331,1117.0,27.1577,109.8294
22391,MIZ/AIZ/84A09/2016/122,Mizoram,Aizawl,Serkhan-Luangmuat road,23.924278,92.744806,N23E092,273,2681,919.0,8.2876,118.1842
22392,MZ/AIZ/84E01/2017/77,Mizoram,Aizawl,SuangpuilawnZawngin section,23.927389,93.02803,N23E093,261,101,1071.0,28.7098,240.8126
22393,MZ/AIZ/84E01/2017/78,Mizoram,Aizawl,SuangpuilawnZawngin section,23.927389,93.02803,N23E093,261,101,1071.0,28.7098,240.8126
22394,MIZ/AIZ/84A13/2016/10,Mizoram,Aizawl,~3.5 km S of Kepran,23.929083,92.922778,N23E092,255,3322,1110.0,15.2233,51.3475
22395,MZ/MAM/84A05/2020/2,Mizoram,Mamit,"Mamit-Tuidam old road section slide 2 Mamit-Tuidam old road section,",23.93,92.37,N23E092,252,1332,730.0,13.7961,209.1328
22396,MIZ/AIZ/84A09/2016/88,Mizoram,Aizawl,Silchar road,23.933904,92.673871,N23E092,238,2426,225.0,19.1494,191.7717
22397,MIZ/AIZ/84A09/2016/57,Mizoram,Aizawl,"Serkhan-Khawnpui section,",23.934222,92.730611,N23E092,237,2630,798.0,22.0812,33.0737
22398,MIZ/AIZ/84A09/2016/106,Mizoram,Aizawl,"Khamrang-Kawnpui road, 19 km",23.934417,92.667222,N23E092,236,2402,194.0,25.9065,178.9553
22399,MZ/CHA/84E05/2017/21,Mizoram,Champhai,SE of Teikhang,23.935917,93.345642,N23E093,231,1244,805.0,28.5804,25.0013
22400,MZ/CHA/84E05/2017/22,Mizoram,Champhai,SE of Teikhang,23.935917,93.345642,N23E093,231,1244,805.0,28.5804,25.0013
22401,MZ/AIZ/84E01/2017/72,Mizoram,Aizawl,PhuaibuangKhawlian section,23.936333,93.118858,N23E093,229,428,1508.0,33.5675,315.5238
22402,MZ/CHA/84E05/2017/10,Mizoram,Champhai,SE of Teikhang,23.936806,93.340668,N23E093,227,1226,888.0,30.857,42.9845
22403,MZ/AIZ/84E01/2017/73,Mizoram,Aizawl,PhuaibuangKhawlian section,23.938028,93.121277,N23E093,223,437,1526.0,26.1012,326.5433
22404,MZ/CHA/84E01/2017/43,Mizoram,Champhai,Near 9 km milestone NE of,23.938583,93.213997,N23E093,221,770,1044.0,25.8422,238.2363
22406,MIZ/AIZ/84A13/2016/11,Mizoram,Aizawl,1.5 km S of Kepran,23.9395,92.927889,N23E092,218,3340,1221.0,34.2226,84.8797
22407,MZ/MAM/84A05/2020/8,Mizoram,Mamit,North of Tuidam slide 1,23.94,92.37,N23E092,216,1332,688.0,24.8098,19.0061
22408,MIZ/AIZ/84A09/2016/89,Mizoram,Aizawl,Silchar road,23.940106,92.680592,N23E092,216,2450,254.0,29.8127,123.4284
22409,MIZ/AIZ/84A09/2016/107,Mizoram,Aizawl,14 km milestone Kawnpui on,23.940333,92.680833,N23E092,215,2451,254.0,26.4273,141.417
22411,MIZ/AIZ/84A13/2016/12,Mizoram,Aizawl,Kepran slide,23.943241,92.933604,N23E092,204,3361,1266.0,27.7342,213.7687
22412,MZ/AZL/84A13/2016/03,Mizoram,Aizawl,Kepran slide,23.94325,92.933611,N23E092,204,3361,1266.0,27.7342,213.7687
22413,MZ/CHA/84E05/2017/28,Mizoram,Champhai,SE of Teikhang,23.945055,93.313698,N23E093,198,1129,1463.0,36.6466,61.0427
22414,MZ/AIZ/84E01/2017/95,Mizoram,Aizawl,S of Suangpuilawn,23.948917,93.038719,N23E093,184,139,1053.0,26.7969,215.9743
22415,MZ/MAM/84A05/2020/10,Mizoram,Mamit,North of Tuidam slide 2,23.95,92.37,N23E092,180,1332,772.0,15.8571,284.8597
22416,MZ/AIZ/84E01/2017/108,Mizoram,Aizawl,Near Phuaibuang,23.950195,93.125061,N23E093,179,450,1429.0,12.0336,85.6449
22418,MZ/AIZ/84E01/2017/86,Mizoram,Aizawl,S of Suangpuilawn,23.950417,93.037109,N23E093,178,134,1067.0,24.0927,330.321
22419,MZ/AIZ/84E01/2017/68,Mizoram,Aizawl,Suangpuilawn village,23.956528,93.041084,N23E093,156,148,1072.0,22.3084,263.2025
22420,MZ/AIZ/84E01/2017/98,Mizoram,Aizawl,SuangpuilawnE. Phaileng,23.957556,93.026558,N23E093,153,96,928.0,32.1174,139.5304
22421,MZ/AIZ/84E01/2017/87,Mizoram,Aizawl,SuangpuilawnE. Phaileng,23.958944,93.022781,N23E093,148,82,896.0,23.823,213.48
22422,MZ/AIZ/84E01/2017/102,Mizoram,Aizawl,SuangpuilawnE. Phaileng,23.958944,93.022781,N23E093,148,82,896.0,23.823,213.48
22423,MZ/AIZ/84E01/2017/63,Mizoram,Aizawl,SuangpuilawnE. Phaileng,23.959278,93.020859,N23E093,147,75,852.0,35.4645,218.8945
22425,MIZ/AIZ/84A13/2016/132,Mizoram,Aizawl,SE of Sawleng,23.95942,92.943345,N23E092,146,3396,984.0,42.1883,341.1873
22426,MZ/AIZ/84E01/2017/103,Mizoram,Aizawl,SuangpuilawnE. Phaileng,23.961,93.028969,N23E093,140,104,960.0,25.2879,102.8687
22427,MZ/AIZ/84E01/2017/110,Mizoram,Aizawl,Suangpuilawn village,23.962278,93.035309,N23E093,136,127,1022.0,33.2462,96.7361
22428,MIZ/AIZ/84A09/2016/108,Mizoram,Aizawl,Near bridge(PHED Kawnpui,23.965889,92.682278,N23E092,123,2456,300.0,23.2064,29.7248
22429,MZ/AIZ/84E01/2017/76,Mizoram,Aizawl,Suangpuilawn village,23.966249,93.041115,N23E093,122,148,1126.0,27.3924,90.4475
22430,MZ/AIZ/84E01/2017/97,Mizoram,Aizawl,Suangpuilawn village,23.966249,93.041115,N23E093,122,148,1126.0,27.3924,90.4475
22431,MZ/AIZ/84E01/2017/50,Mizoram,Aizawl,SuangpuilawnLamherh section,23.966917,93.041473,N23E093,119,149,1106.0,39.2038,114.943
22432,MZ/AIZ/84E01/2017/58,Mizoram,Aizawl,SuangpuilawnE. Phaileng,23.969223,93.016335,N23E093,111,59,783.0,18.4575,200.9939
22433,MIZ/AIZ/84A13/2016/13,Mizoram,Aizawl,~2.5 km S of Sawleng at 5 km N,23.970444,92.927167,N23E092,106,3338,1222.0,6.8222,24.0302
22434,MIZ/AIZ/84A09/2016/109,Mizoram,Kolasib,Aizaw-Silchar road,23.971078,92.682781,N23E092,104,2458,321.0,26.1147,139.4206
22435,MZ/AIZ/84E01/2017/92,Mizoram,Aizawl,SuangpuilawnE. Phaileng,23.972027,93.014893,N23E093,101,54,752.0,28.9866,262.4444
22436,MIZ/AIZ/84A09/2016/110,Mizoram,Kolasib,Aizaw-Silchar road (~100m from,23.972222,92.68325,N23E092,100,2460,351.0,27.2437,117.6278
22437,MIZ/AIZ/84A09/2016/112,Mizoram,Kolasib,Aizaw-Silchar road (~10m from,23.973513,92.6839,N23E092,95,2462,338.0,18.0255,114.23
22438,MIZ/AIZ/84A09/2016/111,Mizoram,Kolasib,Aizaw-Silchar road (~100m from,23.973684,92.683868,N23E092,95,2462,338.0,18.0255,114.23
22439,MIZ/AIZ/84A09/2016/113,Mizoram,Kolasib,"Aizaw-Silchar road, 9 km",23.976412,92.683312,N23E092,85,2460,386.0,28.1009,114.1586
22440,MIZ/AIZ/84A09/2016/114,Mizoram,Kolasib,"Aizaw-Silchar road, S of",23.979472,92.684139,N23E092,74,2463,389.0,21.2498,127.1278
22441,MZ/CHA/84E05/2017/3,Mizoram,Champhai,HrianghmunMimbung section,23.980749,93.28653,N23E093,69,1032,1427.0,44.6736,5.9143
22442,MZ/CHA/84E05/2017/19,Mizoram,Champhai,MimbungHrianghmun section,23.981083,93.287392,N23E093,68,1035,1395.0,43.0254,6.8136
22444,MZ/AIZ/84E01/2017/59,Mizoram,Aizawl,SuangpuilawnE. Phaileng,23.982639,93.011055,N23E093,62,40,677.0,27.3104,252.2024
22445,MIZ/AIZ/84A09/2016/115,Mizoram,Kolasib,"Aizaw-Silchar road, 8 km",23.983667,92.683333,N23E092,59,2460,436.0,18.5088,57.8653
22447,MIZ/AIZ/84A09/2016/123,Mizoram,Aizawl,Lungmuat-N Chaltlang section,23.984972,92.772028,N23E092,54,2779,600.0,18.5732,292.6688
22448,MIZ/AIZ/84A09/2016/116,Mizoram,Kolasib,Aizaw-Silchar road,23.986109,92.681581,N23E092,50,2454,448.0,14.7347,41.0607
22449,MIZ/AIZ/84A09/2016/60,Mizoram,Kolasib,~ 1 km from Taiton on Silchar,23.9865,92.709806,N23E092,49,2555,628.0,32.8774,69.8575
22450,MZ/AIZ/84E01/2017/71,Mizoram,Aizawl,SuangpuilawnE. Phaileng,23.990028,93.010582,N23E093,36,38,602.0,28.5354,249.5248
22451,MIZ/AIZ/84A09/2016/117,Mizoram,Kolasib,Aizaw-Silchar road,23.99016,92.68075,N23E092,35,2451,485.0,15.9493,109.0077
22452,MZ/AIZ/84E01/2017/111,Mizoram,Aizawl,SuangpuilawnVanbawng,23.992805,93.043251,N23E093,26,156,1101.0,32.9921,264.9934
22453,MZ/AIZ/84E01/2017/56,Mizoram,Aizawl,SuangpuilawnE. Phaileng,23.993778,93.004524,N23E093,22,16,422.0,29.0267,249.0624
22454,MIZ/AIZ/84A09/2016/118,Mizoram,Kolasib,"Aizaw-Silchar road,6 km",23.997222,92.681722,N23E092,10,2454,548.0,28.4484,106.9366
22455,MZ/CHA/84E05/2017/18,Mizoram,Champhai,Mimbung village,23.999111,93.285309,N23E093,3,1027,1399.0,24.1278,158.5344
22456,MZ/CHA/83H08/2017/1,Mizoram,Champhai,MimbungTuisa river section,24.000334,93.300278,N24E093,3599,1081,1188.0,31.4702,340.9929
22457,MZ/AIZ/83H04/2017/4,Mizoram,Aizawl,SuangpuilawnLamherh section,24.001167,93.037613,N24E093,3596,135,1188.0,27.4044,268.6581
22458,MZ/CHA/83H08/2017/2,Mizoram,Champhai,MimbungTuisa river section,24.003889,93.323502,N24E093,3586,1165,698.0,19.5569,86.0806
22459,MZ/AIZ/83D16/2016/102,Mizoram,Aizawl,darlawn,24.004186,92.904111,N24E092,3585,3255,894.0,37.0159,240.4094
22460,MZ/AIZ/83D16/2016/101,Mizoram,Aizawl,jhum road from darlawn,24.004313,92.904068,N24E092,3584,3255,906.0,36.2131,245.1631
22461,MZ/KOL/83D12/2016/8,Mizoram,Kolasib,kawnpui-Aizawl bypass,24.004867,92.677265,N24E092,3582,2438,610.0,36.0875,65.7406
22462,MIZ/AIZ/84A09/2016/119,Mizoram,Kolasib,Aizaw-Silchar-Durtlang road,24.005278,92.677083,N24E092,3581,2437,615.0,35.0557,59.8815
22463,MZ/AIZ/83D16/2016/36,Mizoram,Aizawl,S. Of North Chaltlang,24.00977,92.767346,N24E092,3565,2762,678.0,31.3702,136.3452
22464,MZ/AIZ/83D16/2016/35,Mizoram,Aizawl,S. Of North Chaltlang,24.010279,92.767056,N24E092,3563,2761,715.0,29.9201,116.7474
22465,MZ/AIZ/83H04/2017/15,Mizoram,Aizawl,3.5 km from Vanbawng,24.012472,93.047249,N24E093,3555,170,1238.0,28.8291,340.2411
22466,MZ/AIZ/83D16/2016/100,Mizoram,Aizawl,Darlawn (water harvesting,24.013044,92.920237,N24E092,3553,3313,1069.0,24.7971,342.706
22467,MZ/AIZ/83D16/2016/99,Mizoram,Aizawl,NW of darlawn,24.014332,92.924018,N24E092,3548,3326,1076.0,32.291,332.8904
22468,MZ/AIZ/83D16/2016/72,Mizoram,Aizawl,Turial road,24.015858,92.797666,N24E092,3543,2872,620.0,42.5318,355.5681
22469,MZ/AIZ/83H04/2017/8,Mizoram,Aizawl,ChaihppuiDaido section,24.019306,93.181274,N24E093,3530,653,1058.0,14.2852,297.4469
22470,MZ/CHA/83H04/2017/7,Mizoram,Champhai,2.5 km milestone to Tuival river,24.02025,93.243973,N24E093,3527,878,558.0,23.8893,185.1653
22471,MZ/KOL/83D12/2016/10,Mizoram,Kolasib,500m from HM motord,24.021514,92.673778,N24E092,3523,2426,677.0,37.1215,51.6666
22472,MZ/AIZ/83D16/2016/37,Mizoram,Aizawl,North Chaltlang,24.022079,92.771729,N24E092,3521,2778,798.0,26.0325,152.443
